epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7322,1.22783,3.71788,1.3104,0.00299,0.43898,0.13496,0.09844,1.10248,3.84649,1.21354,8.574e-05,8.574e-05,8.574e-05
2,101.241,1.23668,2.92536,1.2026,0.00566,0.72511,0.29046,0.19216,1.21672,3.53406,1.19032,0.000176574,0.000176574,0.000176574
3,150.301,1.19929,1.93779,1.16477,0.00813,0.93182,0.38961,0.26146,1.21145,3.18741,1.16346,0.000257506,0.000257506,0.000257506
4,199.014,1.14866,1.70041,1.11395,0.00862,0.9697,0.41692,0.25144,1.23418,3.07496,1.10818,0.000328534,0.000328534,0.000328534
5,248.889,1.13396,1.57778,1.13381,0.28646,0.79612,0.61689,0.39079,1.24458,2.97431,1.13784,0.00038966,0.00038966,0.00038966
6,299.185,1.16252,1.35468,1.12724,0.89455,0.11801,0.54675,0.34134,1.21225,3.03885,1.11579,0.000440882,0.000440882,0.000440882
7,344.871,1.14099,1.34293,1.15774,1,0.06894,0.63028,0.39789,1.25672,2.94523,1.12408,0.000482202,0.000482202,0.000482202
8,390.025,1.11589,1.1944,1.08142,0.89107,0.21156,0.66118,0.44369,1.2085,2.787,1.13126,0.000513618,0.000513618,0.000513618
9,434.763,1.09432,1.15027,1.08421,0.88691,0.40223,0.69269,0.44416,1.28868,2.65292,1.17154,0.000535132,0.000535132,0.000535132
10,484.11,1.12797,1.12729,1.11435,0.74736,0.51208,0.72585,0.47074,1.25481,2.58364,1.15185,0.000546743,0.000546743,0.000546743
11,530.151,1.09858,1.38436,1.1163,0.75743,0.40558,0.72895,0.47338,1.21763,2.51625,1.14505,0.00054845,0.00054845,0.00054845
12,577.904,1.04411,1.27456,1.08349,0.75068,0.53696,0.7558,0.47643,1.30925,2.27326,1.21553,0.000540255,0.000540255,0.000540255
13,623.451,1.05094,1.23568,1.10438,0.80152,0.61072,0.7766,0.49259,1.29861,2.19903,1.21743,0.000522157,0.000522157,0.000522157
14,670.319,1.03585,1.1939,1.08275,0.8235,0.62758,0.78109,0.52053,1.25578,2.23796,1.18562,0.000494155,0.000494155,0.000494155
15,715.368,1.00034,1.12988,1.04354,0.75956,0.70326,0.79504,0.53001,1.20838,2.00066,1.1624,0.000438703,0.000438703,0.000438703
16,760.779,0.9714,1.11514,1.03732,0.7935,0.79137,0.82752,0.5528,1.17617,1.7074,1.14096,0.000367967,0.000367967,0.000367967
17,805.986,1.00444,1.06814,1.04937,0.84778,0.76034,0.83278,0.56023,1.17861,1.65183,1.14216,0.000297232,0.000297232,0.000297232
18,854.047,0.99017,1.04673,1.03119,0.82469,0.77289,0.84772,0.56242,1.22752,1.63297,1.15914,0.000226497,0.000226497,0.000226497
19,899.755,0.96515,1.04796,1.0402,0.84361,0.77758,0.85478,0.57097,1.24006,1.5352,1.16907,0.000155761,0.000155761,0.000155761
20,944.674,0.95311,1.03267,1.02817,0.86721,0.79619,0.85745,0.58714,1.21082,1.40298,1.1558,8.50255e-05,8.50255e-05,8.50255e-05
